file,R2,r,trait,cs,mode,sp,cv
asi_cs10_a2_sp10_cv1.ghatREL1,0.174955366443525,0.418276662561425,asi,cs10,a2,sp10,cv1.ghatREL1
asi_cs10_a2_sp10_cv2.ghatREL1,0.649080187787451,0.805655129560689,asi,cs10,a2,sp10,cv2.ghatREL1
asi_cs10_a2_sp10_cv3.ghatREL1,0.215325537626056,0.464031828246788,asi,cs10,a2,sp10,cv3.ghatREL1
asi_cs10_a2_sp10_cv4.ghatREL1,0.171105226704601,0.4136486754537,asi,cs10,a2,sp10,cv4.ghatREL1
asi_cs10_a2_sp10_cv5.ghatREL1,0.0318939999547558,0.178588913303026,asi,cs10,a2,sp10,cv5.ghatREL1
asi_cs10_a2_sp1_cv1.ghatREL1,0.293016147432338,0.541309659467054,asi,cs10,a2,sp1,cv1.ghatREL1
asi_cs10_a2_sp1_cv2.ghatREL1,0.245060269118413,0.49503562409024,asi,cs10,a2,sp1,cv2.ghatREL1
asi_cs10_a2_sp1_cv3.ghatREL1,0.15611346224918,0.395111961662995,asi,cs10,a2,sp1,cv3.ghatREL1
asi_cs10_a2_sp1_cv4.ghatREL1,0.395710592702844,0.629055317681079,asi,cs10,a2,sp1,cv4.ghatREL1
asi_cs10_a2_sp1_cv5.ghatREL1,0.253228058425948,0.503217704801757,asi,cs10,a2,sp1,cv5.ghatREL1
asi_cs10_a2_sp2_cv1.ghatREL1,0.482814891865247,0.694848826627236,asi,cs10,a2,sp2,cv1.ghatREL1
asi_cs10_a2_sp2_cv2.ghatREL1,0.288287247423397,0.536923874886745,asi,cs10,a2,sp2,cv2.ghatREL1
asi_cs10_a2_sp2_cv3.ghatREL1,0.345451520190209,0.587751240058418,asi,cs10,a2,sp2,cv3.ghatREL1
asi_cs10_a2_sp2_cv4.ghatREL1,0.0738062562302439,0.271673068650987,asi,cs10,a2,sp2,cv4.ghatREL1
asi_cs10_a2_sp2_cv5.ghatREL1,0.646696403977511,0.804174361676316,asi,cs10,a2,sp2,cv5.ghatREL1
asi_cs10_a2_sp3_cv1.ghatREL1,0.224273529166431,0.473575262409716,asi,cs10,a2,sp3,cv1.ghatREL1
asi_cs10_a2_sp3_cv2.ghatREL1,0.171923300540999,0.414636347346683,asi,cs10,a2,sp3,cv2.ghatREL1
asi_cs10_a2_sp3_cv3.ghatREL1,0.64779951553172,0.80485993535007,asi,cs10,a2,sp3,cv3.ghatREL1
asi_cs10_a2_sp3_cv4.ghatREL1,0.386453235040075,0.62165362947551,asi,cs10,a2,sp3,cv4.ghatREL1
asi_cs10_a2_sp3_cv5.ghatREL1,0.306068716215803,0.55323477495165,asi,cs10,a2,sp3,cv5.ghatREL1
asi_cs10_a2_sp4_cv1.ghatREL1,0.527910467373323,0.72657447476038,asi,cs10,a2,sp4,cv1.ghatREL1
asi_cs10_a2_sp4_cv2.ghatREL1,0.0906413517433847,0.30106702201235,asi,cs10,a2,sp4,cv2.ghatREL1
asi_cs10_a2_sp4_cv3.ghatREL1,0.134016975046654,0.366083289767034,asi,cs10,a2,sp4,cv3.ghatREL1
asi_cs10_a2_sp4_cv4.ghatREL1,0.489628730241767,0.699734757062822,asi,cs10,a2,sp4,cv4.ghatREL1
asi_cs10_a2_sp4_cv5.ghatREL1,0.245981132233299,0.495964849796131,asi,cs10,a2,sp4,cv5.ghatREL1
asi_cs10_a2_sp5_cv1.ghatREL1,0.227944868676073,0.477435722036038,asi,cs10,a2,sp5,cv1.ghatREL1
asi_cs10_a2_sp5_cv2.ghatREL1,0.319355493144986,0.565115468860113,asi,cs10,a2,sp5,cv2.ghatREL1
asi_cs10_a2_sp5_cv3.ghatREL1,0.519700950145106,0.72090287150566,asi,cs10,a2,sp5,cv3.ghatREL1
asi_cs10_a2_sp5_cv4.ghatREL1,0.596428184631705,0.77228763076441,asi,cs10,a2,sp5,cv4.ghatREL1
asi_cs10_a2_sp5_cv5.ghatREL1,0.44332781238982,0.665828665941787,asi,cs10,a2,sp5,cv5.ghatREL1
asi_cs10_a2_sp6_cv1.ghatREL1,0.292787550628762,0.541098466666431,asi,cs10,a2,sp6,cv1.ghatREL1
asi_cs10_a2_sp6_cv2.ghatREL1,0.502416895319344,0.708813723991955,asi,cs10,a2,sp6,cv2.ghatREL1
asi_cs10_a2_sp6_cv3.ghatREL1,0.498463560180342,0.706019518271515,asi,cs10,a2,sp6,cv3.ghatREL1
asi_cs10_a2_sp6_cv4.ghatREL1,0.395617967639215,0.628981691020665,asi,cs10,a2,sp6,cv4.ghatREL1
asi_cs10_a2_sp6_cv5.ghatREL1,0.168551842769374,0.410550657981904,asi,cs10,a2,sp6,cv5.ghatREL1
asi_cs10_a2_sp7_cv1.ghatREL1,0.11645935023902,0.341261410415856,asi,cs10,a2,sp7,cv1.ghatREL1
asi_cs10_a2_sp7_cv2.ghatREL1,0.359199129487891,0.599332236316295,asi,cs10,a2,sp7,cv2.ghatREL1
asi_cs10_a2_sp7_cv3.ghatREL1,0.584675670157196,0.764640876593186,asi,cs10,a2,sp7,cv3.ghatREL1
asi_cs10_a2_sp7_cv4.ghatREL1,0.659080613749044,0.811837800147938,asi,cs10,a2,sp7,cv4.ghatREL1
asi_cs10_a2_sp7_cv5.ghatREL1,0.4473131325635,0.668814722149191,asi,cs10,a2,sp7,cv5.ghatREL1
asi_cs10_a2_sp8_cv1.ghatREL1,0.436280536185271,0.660515356509802,asi,cs10,a2,sp8,cv1.ghatREL1
asi_cs10_a2_sp8_cv2.ghatREL1,0.185246721774425,0.430402976028773,asi,cs10,a2,sp8,cv2.ghatREL1
asi_cs10_a2_sp8_cv3.ghatREL1,0.355058069722443,0.595867493426553,asi,cs10,a2,sp8,cv3.ghatREL1
asi_cs10_a2_sp8_cv4.ghatREL1,0.155954505804616,0.394910756759824,asi,cs10,a2,sp8,cv4.ghatREL1
asi_cs10_a2_sp8_cv5.ghatREL1,0.397678698924139,0.630617712187137,asi,cs10,a2,sp8,cv5.ghatREL1
asi_cs10_a2_sp9_cv1.ghatREL1,0.224504223849351,0.473818766881759,asi,cs10,a2,sp9,cv1.ghatREL1
asi_cs10_a2_sp9_cv2.ghatREL1,0.241882891980505,0.491815912695497,asi,cs10,a2,sp9,cv2.ghatREL1
asi_cs10_a2_sp9_cv3.ghatREL1,0.391611778221052,0.625788924655152,asi,cs10,a2,sp9,cv3.ghatREL1
asi_cs10_a2_sp9_cv4.ghatREL1,0.199438442675654,0.446585313994599,asi,cs10,a2,sp9,cv4.ghatREL1
asi_cs10_a2_sp9_cv5.ghatREL1,0.351731376805376,0.593069453610094,asi,cs10,a2,sp9,cv5.ghatREL1
asi_cs10_d2_sp10_cv1.ghatREL1,0.261112558539651,0.510991740187306,asi,cs10,d2,sp10,cv1.ghatREL1
asi_cs10_d2_sp10_cv2.ghatREL1,0.840070817342463,0.91655377220459,asi,cs10,d2,sp10,cv2.ghatREL1
asi_cs10_d2_sp10_cv3.ghatREL1,0.157290956915725,0.396599239681224,asi,cs10,d2,sp10,cv3.ghatREL1
asi_cs10_d2_sp10_cv4.ghatREL1,0.301354539181405,0.548957684326766,asi,cs10,d2,sp10,cv4.ghatREL1
asi_cs10_d2_sp10_cv5.ghatREL1,0.0643622265488871,0.253697115767774,asi,cs10,d2,sp10,cv5.ghatREL1
asi_cs10_d2_sp1_cv1.ghatREL1,0.240164246387855,0.490065553153714,asi,cs10,d2,sp1,cv1.ghatREL1
asi_cs10_d2_sp1_cv2.ghatREL1,0.52844198469976,0.726940152075644,asi,cs10,d2,sp1,cv2.ghatREL1
asi_cs10_d2_sp1_cv3.ghatREL1,0.234012400549991,0.483748282219163,asi,cs10,d2,sp1,cv3.ghatREL1
asi_cs10_d2_sp1_cv4.ghatREL1,0.480051511645836,0.692857497358465,asi,cs10,d2,sp1,cv4.ghatREL1
asi_cs10_d2_sp1_cv5.ghatREL1,0.426169464585782,0.652816562738555,asi,cs10,d2,sp1,cv5.ghatREL1
asi_cs10_d2_sp2_cv1.ghatREL1,0.446466227641359,0.668181283516202,asi,cs10,d2,sp2,cv1.ghatREL1
asi_cs10_d2_sp2_cv2.ghatREL1,0.204091152668346,0.45176448805583,asi,cs10,d2,sp2,cv2.ghatREL1
asi_cs10_d2_sp2_cv3.ghatREL1,0.642212348176522,0.801381524728716,asi,cs10,d2,sp2,cv3.ghatREL1
asi_cs10_d2_sp2_cv4.ghatREL1,0.113271471139619,0.336558273022101,asi,cs10,d2,sp2,cv4.ghatREL1
asi_cs10_d2_sp2_cv5.ghatREL1,0.502979797778301,0.709210686452412,asi,cs10,d2,sp2,cv5.ghatREL1
asi_cs10_d2_sp3_cv1.ghatREL1,0.276383581916848,0.525721962558964,asi,cs10,d2,sp3,cv1.ghatREL1
asi_cs10_d2_sp3_cv2.ghatREL1,0.0701903185769004,0.264934555271487,asi,cs10,d2,sp3,cv2.ghatREL1
asi_cs10_d2_sp3_cv3.ghatREL1,0.660902299415244,0.812958977695212,asi,cs10,d2,sp3,cv3.ghatREL1
asi_cs10_d2_sp3_cv4.ghatREL1,0.571372376508925,0.755891775659006,asi,cs10,d2,sp3,cv4.ghatREL1
asi_cs10_d2_sp3_cv5.ghatREL1,0.227451727976127,0.476918995193238,asi,cs10,d2,sp3,cv5.ghatREL1
asi_cs10_d2_sp4_cv1.ghatREL1,0.64024483408073,0.800153006668556,asi,cs10,d2,sp4,cv1.ghatREL1
asi_cs10_d2_sp4_cv2.ghatREL1,0.108701853631269,0.329699641539491,asi,cs10,d2,sp4,cv2.ghatREL1
asi_cs10_d2_sp4_cv3.ghatREL1,0.300625626791596,0.54829337657097,asi,cs10,d2,sp4,cv3.ghatREL1
asi_cs10_d2_sp4_cv4.ghatREL1,0.478996539699444,0.692095759053214,asi,cs10,d2,sp4,cv4.ghatREL1
asi_cs10_d2_sp4_cv5.ghatREL1,0.183116980559458,0.42792169909863,asi,cs10,d2,sp4,cv5.ghatREL1
asi_cs10_d2_sp5_cv1.ghatREL1,0.584535351066576,0.764549116189781,asi,cs10,d2,sp5,cv1.ghatREL1
asi_cs10_d2_sp5_cv2.ghatREL1,0.136745705173537,0.369791434694663,asi,cs10,d2,sp5,cv2.ghatREL1
asi_cs10_d2_sp5_cv3.ghatREL1,0.436689135247735,0.660824587351087,asi,cs10,d2,sp5,cv3.ghatREL1
asi_cs10_d2_sp5_cv4.ghatREL1,0.487808784128229,0.69843309209131,asi,cs10,d2,sp5,cv4.ghatREL1
asi_cs10_d2_sp5_cv5.ghatREL1,0.429531453231206,0.655386491492772,asi,cs10,d2,sp5,cv5.ghatREL1
asi_cs10_d2_sp6_cv1.ghatREL1,0.305456082249059,0.55268081407722,asi,cs10,d2,sp6,cv1.ghatREL1
asi_cs10_d2_sp6_cv2.ghatREL1,0.473972821783389,0.688456840901003,asi,cs10,d2,sp6,cv2.ghatREL1
asi_cs10_d2_sp6_cv3.ghatREL1,0.737964723511231,0.859048731744149,asi,cs10,d2,sp6,cv3.ghatREL1
asi_cs10_d2_sp6_cv4.ghatREL1,0.446677749113113,0.668339546273533,asi,cs10,d2,sp6,cv4.ghatREL1
asi_cs10_d2_sp6_cv5.ghatREL1,0.311574354060862,0.558188457477277,asi,cs10,d2,sp6,cv5.ghatREL1
asi_cs10_d2_sp7_cv1.ghatREL1,0.18024849378495,0.424556820443329,asi,cs10,d2,sp7,cv1.ghatREL1
asi_cs10_d2_sp7_cv2.ghatREL1,0.354463224816659,0.59536814225877,asi,cs10,d2,sp7,cv2.ghatREL1
asi_cs10_d2_sp7_cv3.ghatREL1,0.556217867396292,0.745800152451239,asi,cs10,d2,sp7,cv3.ghatREL1
asi_cs10_d2_sp7_cv4.ghatREL1,0.473039963798734,0.687779007966028,asi,cs10,d2,sp7,cv4.ghatREL1
asi_cs10_d2_sp7_cv5.ghatREL1,0.607470892450223,0.779404190680434,asi,cs10,d2,sp7,cv5.ghatREL1
asi_cs10_d2_sp8_cv1.ghatREL1,0.584920577902073,0.76480100542695,asi,cs10,d2,sp8,cv1.ghatREL1
asi_cs10_d2_sp8_cv2.ghatREL1,0.427300177654465,0.65368201570371,asi,cs10,d2,sp8,cv2.ghatREL1
asi_cs10_d2_sp8_cv3.ghatREL1,0.369636786587424,0.607977620136978,asi,cs10,d2,sp8,cv3.ghatREL1
asi_cs10_d2_sp8_cv4.ghatREL1,0.0597671525012267,0.244473214281701,asi,cs10,d2,sp8,cv4.ghatREL1
asi_cs10_d2_sp8_cv5.ghatREL1,0.250432722190957,0.50043253510434,asi,cs10,d2,sp8,cv5.ghatREL1
asi_cs10_d2_sp9_cv1.ghatREL1,0.226957468056614,0.476400533224528,asi,cs10,d2,sp9,cv1.ghatREL1
asi_cs10_d2_sp9_cv2.ghatREL1,0.344724959193679,0.587132829259001,asi,cs10,d2,sp9,cv2.ghatREL1
asi_cs10_d2_sp9_cv3.ghatREL1,0.346249306041639,0.588429525127384,asi,cs10,d2,sp9,cv3.ghatREL1
asi_cs10_d2_sp9_cv4.ghatREL1,0.297106821851762,0.545075060750133,asi,cs10,d2,sp9,cv4.ghatREL1
asi_cs10_d2_sp9_cv5.ghatREL1,0.486193083593149,0.697275471813794,asi,cs10,d2,sp9,cv5.ghatREL1
asi_cs1_a2_sp10_cv1.ghatREL1,0.305382590808871,0.552614323745658,asi,cs1,a2,sp10,cv1.ghatREL1
asi_cs1_a2_sp10_cv2.ghatREL1,0.685683885927974,0.828060315392529,asi,cs1,a2,sp10,cv2.ghatREL1
asi_cs1_a2_sp10_cv3.ghatREL1,0.0899816708338484,0.299969449834226,asi,cs1,a2,sp10,cv3.ghatREL1
asi_cs1_a2_sp10_cv4.ghatREL1,0.0995031297756164,0.315441166900607,asi,cs1,a2,sp10,cv4.ghatREL1
asi_cs1_a2_sp10_cv5.ghatREL1,0.0391782187353575,0.197934885089409,asi,cs1,a2,sp10,cv5.ghatREL1
